NOM_LOGIQUE;LIBELLE;libelle long eq;NOM_STATION;libelle long station;MNEMONIQUE;Libelle (type eq.)
EA7P-MIOR-000001976!!!!!!!!109045!!!!!!!!!!!!!!!;NDS B;NDS B - Iéna;M-IENA;Ligne 9 - Iéna;PC_I;PC industriel
EA7EQ06-OND-000000675!!!!!!103075-00-0A-IN-LC026;Onduleur;Onduleur - Porte de Champerret;M-PORTE DE CHAMPERRET;Ligne 3 - Porte de Champerret;Onduleur;Onduleur
EA7P-MIOR-000001972!!!!!!!!109041!!!!!!!!!!!!!!!;NDS B;NDS B - Rue de la Pompe;M-RUE DE LA POMPE;Ligne 9 - Rue de la Pompe;PC_I;PC industriel
EA7EQ06-OND-000000673!!!!!!103065-00-0A-IN-LC010;Onduleur;Onduleur - Europe;M-EUROPE;Ligne 3 - Europe;Onduleur;Onduleur
EA7EQ06-OND-000000674!!!!!!103061-00-0A-IN-LC027;Onduleur;Onduleur - Havre Caumartin;M-HAVRE - CAUMARTIN;Ligne 3 - Havre Caumartin;Onduleur;Onduleur
nl_198_1001_4376;Concentrateur Rue de la Pompe;Concentrateur Rue de la Pompe;M-RUE DE LA POMPE;Ligne 9 - Rue de la Pompe;NDS;Concentrateur
EA7EQ06-OND-000000157!!!!!!116035-00-0A-IN-LC009;Onduleur;Onduleur - ;M-PELLEPORT;Ligne 3 - Pelleport;Onduleur;Onduleur
EA7EQ06-OND-000000300!!!!!!103037-00-0A-IN-LC064;Onduleur;Onduleur - Gambetta;M-GAMBETTA;Ligne 3 - Gambetta;Onduleur;Onduleur
EA7EQ06-OND-000000306!!!!!!103033-00-0A-IN-LC147;Onduleur;Onduleur - Galliéni;M-GALLIENI;Ligne 3 - Galliéni;Onduleur;Onduleur
EA7EQ06-OND-000000517!!!!!!107029-00-0A-IN-LC042;Onduleur;Onduleur - Aubervilliers-Pantin-4 Chemins;M-AUBERVILLIERS - PANTIN ;Ligne 7 - Aubervilliers-Pantin-4 Chemins;Onduleur;Onduleur
EA7EQ06-OND-000000490!!!!!!107031-00-0A-IN-LC037;Onduleur;Onduleur - Porte de la Villette;M-PORTE DE LA VILLETTE;Ligne 7 - Porte de la Villette;Onduleur;Onduleur
EA7EQ06-OND-000000520!!!!!!107051-00-0A-IN-LC011;Onduleur;Onduleur - Le Peletier;M-LE PELETIER;Ligne 7 - Le Peletier;Onduleur;Onduleur
EA7EQ06-OND-000000504!!!!!!107079-00-0A-IN-LC016;Onduleur;Onduleur - Tolbiac;M-TOLBIAC;Ligne 7 - Tolbiac;Onduleur;Onduleur
EA7EQ06-OND-000000505!!!!!!107097-00-0A-IN-LC032;Onduleur;Onduleur - Villejuif Léo Lagrange;M-VILLEJUIF - LEO LAGRANG;Ligne 7 - Villejuif Léo Lagrange;Onduleur;Onduleur
EA7EQ06-OND-000000501!!!!!!107085-00-0A-IN-LC015;Onduleur;Onduleur - Porte de Choisy;M-PORTE DE CHOISY;Ligne 7 - Porte de Choisy;Onduleur;Onduleur
EA7EQ06-OND-000000494!!!!!!107101-00-0A-IN-LC029;Onduleur;Onduleur - Villejuif Louis Aragon;M-VILLEJUIF - LOUIS ARAGO;Ligne 7 - Villejuif Louis Aragon;Onduleur;Onduleur
pc246168;pc246168;IHM Defense EEM bureau encadrement;ADMTOS;LET d'administration de TOSCANE;PTOSC;Poste mainteneur TOSCANE
TELE-SWI03L11;Switch_TELEGR_3;SWITCH Cisco N°1;M-TELEGRAPHE;Ligne 11 - Télégraphe;SWITCH;Switch
nl_243_1001_1409;Concentrateur Jourdain;Logiciel NdS;M-JOURDAIN;Ligne 11 - Jourdain;NDS;Concentrateur
EA7P-RESO-000000659!!!!!!!!111041!!!!!!!!!!!!!!!;HUB fils 211;hub fils 211 - Jourdain;M-JOURDAIN;Ligne 11 - Jourdain;SWITCH;Switch
nl_242_1001_1401;Concentrateur Pyrénées;Logiciel NdS;M-PYRENEES;Ligne 11 - Pyrénées;NDS;Concentrateur
PYRE-SWI02L11;Switch_PYRENE_2;Switch  Cisco N°2 - Pyrénées;M-PYRENEES;Ligne 11 - Pyrénées;SWITCH;Switch
nl_241_1001_1392;Concentrateur Belleville;Logiciel NdS;M-BELLEVILLE;Ligne 11 - Belleville;NDS;Concentrateur
BELL-SWI03L11;Switch_BELLEV_2;SWITCH Cisco N°1 - Belleville;M-BELLEVILLE;Ligne 11 - Belleville;SWITCH;Switch
EA7P-MIOR-000001925!!!!!!!!108075!!!!!!!!!!!!!!!;NDS B;NDS B - Porte de Charenton;M-PORTE DE CHARENTON;Ligne 8 - Porte de Charenton;PC_I;PC industriel
EA7P-MIOR-000001923!!!!!!!!108073!!!!!!!!!!!!!!!;NDS B;NDS B - Porte Dorée;M-PORTE DOREE;Ligne 8 - Porte Dorée;PC_I;PC industriel
EA7P-MIOR-000001921!!!!!!!!108071!!!!!!!!!!!!!!!;NDS B;NDS B - Michel Bizot;M-MICHEL BIZOT;Ligne 8 - Michel Bizot;PC_I;PC industriel
EA7P-MIOR-000001952!!!!!!!!106037!!!!!!!!!!!!!!!;NDS B;NDS B - Daumesnil;M-DAUMESNIL;Ligne 8 - Daumesnil;PC_I;PC industriel
EA7P-MIOR-000002201!!!!!!!!146051!!!!!!!!!!!!!!!;NDG A;NDG A - Val d'Europe;R-VAL D'EUROPE;RER A - Val d'Europe;PC_I;PC industriel
nl_noeud_VALEUR;Concentrateur Val d'Europe;Concentrateur Val d'Europe - RER A;R-VAL D'EUROPE;RER A - Val d'Europe;NDS;Concentrateur
EA7P-MIOR-000001277!!!!!!!!110045!!!!!!!!!!!!!!!;P-SERVEUR-UA-1009003;P-SERVEUR-UA-1009003 - Avenue Emile Zola;M-AVENUE EMILE ZOLA;Ligne 10 - Avenue Emile Zola;SIV;Serveur d'Information Voyageur
EA7P-MIOR-000001261!!!!!!!!109075-00-0A-IN-LC015;P-SERVEUR-UA-0929003;P-SERVEUR-UA-0929003 - Voltaire;M-VOLTAIRE;Ligne 9 - Voltaire;SIV;Serveur d'Information Voyageur
EA7P-MIOR-000001303!!!!!!!!112041-00-0A-IN-LC004;P-SERVEUR-UA-1206003;P-SERVEUR-UA-1206003 - Volontaires;M-VOLONTAIRES;Ligne 12 - Volontaires;SIV;Serveur d'Information Voyageur
EA7P-MIOR-000001213!!!!!!!!107097-00-0A-IN-LC021;P-SERVEUR-UA-0782003;P-SERVEUR-UA-0782003 - Villejuif Léo Lagrange;M-VILLEJUIF - LEO LAGRANG;Ligne 7 - Villejuif Léo Lagrange;SIV;Serveur d'Information Voyageur
EA7P-MIOR-000001214!!!!!!!!107099-00-0A-IN-LC018;P-SERVEUR-UA-0783003;P-SERVEUR-UA-0783003 - Villejuif Paul Vaillant Couturier ;M-VILLEJUIF - PAUL VAILLA;Ligne 7 - Villejuif Paul Vaillant Couturier ;SIV;Serveur d'Information Voyageur
EA7P-MIOR-000001215!!!!!!!!107101-00-0A-IN-LC035;P-SERVEUR-UA-0784003;P-SERVEUR-UA-0784003 - Villejuif Louis Aragon;M-VILLEJUIF - LOUIS ARAGO;Ligne 7 - Villejuif Louis Aragon;SIV;Serveur d'Information Voyageur
EA7P-MIOR-000001139!!!!!!!!104069!!!!!!!!!!!!!!!;P-SERVEUR-UA-0421003;P-SERVEUR-UA-0421003 - Vavin;M-VAVIN;Ligne 4 - Vavin ;SIV;Serveur d'Information Voyageur
EA7P-MIOR-000001302!!!!!!!!112039-00-0A-IN-LC004;P-SERVEUR-UA-1205003;P-SERVEUR-UA-1205003 - Vaugirard;M-VAUGIRARD;Ligne 12 - Vaugirard;SIV;Serveur d'Information Voyageur
EA7P-RESO-000000393!!!!!!!!107101-00-0A-IN-LC035;P-HUB-PERE-0784210;P-HUB-PERE-0784210 - M-VILLEJ ARAGON-LC035;M-VILLEJUIF - LOUIS ARAGO;Ligne 7 - Villejuif Louis Aragon;HUB;HUB
EA7P-RESO-000000125!!!!!!!!107101-00-0A-IN-LC035;P-HUB-FILS-0784211;P-HUB-FILS-0784211 - M-VILLEJ ARAGON-LC035;M-VILLEJUIF - LOUIS ARAGO;Ligne 7 - Villejuif Louis Aragon;HUB;HUB
EA7P-RESO-000000550!!!!!!!!112039-00-0A-IN-LC004;P-HUB-PERE-1205210;P-HUB-PERE-1205210 - M-VAUGIRARD-LC004;M-VAUGIRARD;Ligne 12 - Vaugirard;HUB;HUB
EA7P-RESO-000000575!!!!!!!!114053-00-0A-IN-LC004;P-HUB-PERE-1308210;P-HUB-PERE-1308210 - M-VARENNE-LC004;M-VARENNE;Ligne 13 - Varenne;HUB;HUB
EA7P-RESO-000000527!!!!!!!!110053!!!!!!!!!!!!!!!;P-HUB-PERE-1013210;P-HUB-PERE-1013210 - M-VANEAU;M-VANEAU;Ligne 10 - Vaneau;HUB;HUB
EA7P-RESO-000000187!!!!!!!!110053!!!!!!!!!!!!!!!;P-HUB-FILS-1013211;P-HUB-FILS-1013211 - M-VANEAU;M-VANEAU;Ligne 10 - Vaneau;HUB;HUB
EA7P-RESO-000000244!!!!!!!!101059-00-0A-IN-LC008;P-HUB-PERE-0114210;P-HUB-PERE-0114210 - M-TUILERIES-LC008;M-TUILERIES;Ligne 1 - Tuileries;HUB;HUB
EA7P-RESO-000000355!!!!!!!!106079!!!!!!!!!!!!!!!;P-HUB-PERE-0625210;P-HUB-PERE-0625210 - M-TROCADERO;M-TROCADERO;Ligne 6 - Trocadéro;HUB;HUB
EA7P-RESO-000000097!!!!!!!!106079!!!!!!!!!!!!!!!;P-HUB-FILS-0625211;P-HUB-FILS-0625211 - M-TROCADERO;M-TROCADERO;Ligne 6 - Trocadéro;HUB;HUB
EA7P-RESO-000000561!!!!!!!!112067!!!!!!!!!!!!!!!;P-HUB-PERE-1219210;P-HUB-PERE-1219210 - M-TRINITE;M-TRINITE - D'ESTIENNE D';Ligne 12 - Trinité;HUB;HUB
EA7P-RESO-000000373!!!!!!!!107079!!!!!!!!!!!!!!!;P-HUB-PERE-0725210;P-HUB-PERE-0725210 - M-TOLBIAC;M-TOLBIAC;Ligne 7 - Tolbiac;HUB;HUB
EA7P-RESO-000000113!!!!!!!!107079!!!!!!!!!!!!!!!;P-HUB-FILS-0725211;P-HUB-FILS-0725211 - M-TOLBIAC;M-TOLBIAC;Ligne 7 - Tolbiac;HUB;HUB
EA7P-RESO-000000269!!!!!!!!102075!!!!!!!!!!!!!!!;P-HUB-PERE-0222210;P-HUB-PERE-0222210 - M-TERNES;M-TERNES;Ligne 2 - Ternes;HUB;HUB
EA7P-RESO-000000040!!!!!!!!102075!!!!!!!!!!!!!!!;P-HUB-FILS-0222211;P-HUB-FILS-0222211 - M-TERNES;M-TERNES;Ligne 2 - Ternes;HUB;HUB
EA7P-RESO-000000277!!!!!!!!103047!!!!!!!!!!!!!!!;P-HUB-PERE-0308210;P-HUB-PERE-0308210 - M-TEMPLE;M-TEMPLE;Ligne 3 - Temple;HUB;HUB
EA7P-RESO-000000400!!!!!!!!108033!!!!!!!!!!!!!!!;P-HUB-PERE-0809210;P-HUB-PERE-0809210 - M-T MAUBOURG;M-LA TOUR-MAUBOURG;Ligne 8 - La Tour Maubourg;HUB;HUB
EA7P-RESO-000000130!!!!!!!!108033!!!!!!!!!!!!!!!;P-HUB-FILS-0809211;P-HUB-FILS-0809211 - M-T MAUBOURG;M-LA TOUR-MAUBOURG;Ligne 8 - La Tour Maubourg;HUB;HUB
nl_58_1001_9447;Concentrateur Galliéni;Concentrateur Galliéni;M-GALLIENI;Ligne 3 - Galliéni;NDS;Concentrateur
EA7P-RESO-000000957!!!!!!!!103035!!!!!!!!!!!!!!!;SDP 1B;SDP 1B - Porte de Bagnolet;M-PORTE DE BAGNOLET;Ligne 3 - Porte de Bagnolet;SDP;Serveur de ports
EA7P-RESO-000000956!!!!!!!!103035!!!!!!!!!!!!!!!;SDP 1A;SDP 1A - Porte de Bagnolet;M-PORTE DE BAGNOLET;Ligne 3 - Porte de Bagnolet;SDP;Serveur de ports
EA7P-MIOR-000002103!!!!!!!!103035!!!!!!!!!!!!!!!;NDS B;NDS B - Porte de Bagnolet;M-PORTE DE BAGNOLET;Ligne 3 - Porte de Bagnolet;PC_I;PC industriel
nl_57_1001_9432;Concentrateur Porte de Bagnolet;Concentrateur Porte de Bagnolet;M-PORTE DE BAGNOLET;Ligne 3 - Porte de Bagnolet;NDS;Concentrateur
EA7EQEM-OTI-000000151!!!!!!103037-00-0G-IN-CR219;EM 17;EM 17 - Gambetta;M-GAMBETTA;Ligne 3 - Gambetta;EM;Escalier Mécanique
EA7EQEM-CNI-000000246!!!!!!103037-00-0G-IN-CR203;EM 16;EM 16 - Gambetta;M-GAMBETTA;Ligne 3 - Gambetta;EM;Escalier Mécanique
EA7EQEM-CNI-000000247!!!!!!103037-00-0G-IN-CR212;EM 14;EM 14 - Gambetta;M-GAMBETTA;Ligne 3 - Gambetta;EM;Escalier Mécanique
EA7EQCP-CVIS-000000033!!!!!103037-00-0A-IN-LC058;Compresseur;Compresseur - Gambetta;M-GAMBETTA;Ligne 3 - Gambetta;Compresseur;Compresseur
EA7EQVT-VNT-000000061!!!!!!103037!!!!!!!!!!!!!!!;VNT RUE DU JAPON;VNT RUE DU JAPON - Gambetta;M-GAMBETTA;Ligne 3 - Gambetta;Ventilateur;Ventilateur
EA7P-RESO-000000959!!!!!!!!103037!!!!!!!!!!!!!!!;SDP 1B;SDP 1B - Gambetta;M-GAMBETTA;Ligne 3 - Gambetta;SDP;Serveur de ports
EA7P-RESO-000000958!!!!!!!!103037!!!!!!!!!!!!!!!;SDP 1A;SDP 1A - Gambetta;M-GAMBETTA;Ligne 3 - Gambetta;SDP;Serveur de ports
EA7P-MIOR-000002105!!!!!!!!103037!!!!!!!!!!!!!!!;NDS B;NDS B - Gambetta;M-GAMBETTA;Ligne 3 - Gambetta;PC_I;PC industriel
nl_56_1001_9418;Concentrateur Gambetta;Concentrateur Gambetta;M-GAMBETTA;Ligne 3 - Gambetta;NDS;Concentrateur
EA7P-MIOR-000001539!!!!!!!!111033!!!!!!!!!!!!!!!;NDS B;NDS B - Mairie des Lilas;M-MAIRIE DES LILAS;Ligne 11 - Mairie des Lilas;PC_I;PC industriel
EA7P-RESO-000000667!!!!!!!!111033!!!!!!!!!!!!!!!;SDP 2A;SDP 2A - Mairie des Lilas;M-MAIRIE DES LILAS;Ligne 11 - Mairie des Lilas;SDP;Serveur de ports
EA7P-RESO-000000666!!!!!!!!111033!!!!!!!!!!!!!!!;SDP 1B;SDP 1B - Mairie des Lilas;M-MAIRIE DES LILAS;Ligne 11 - Mairie des Lilas;SDP;Serveur de ports
nl_245_1001_1435;Concentrateur Mairie des Lilas;Logiciel NdS;M-MAIRIE DES LILAS;Ligne 11 - Mairie des Lilas;NDS;Concentrateur
MALI-SWI01L11;Switch_MLILA_3;SWITCH Cisco N°1 - Mairie des Lilas;M-MAIRIE DES LILAS;Ligne 11 - Mairie des Lilas;SWITCH;Switch
nl_240_1001_1384;Concentrateur Goncourt;Logiciel NdS;M-GONCOURT;Ligne 11 - Goncourt;NDS;Concentrateur
EA7P-MIOR-000001582!!!!!!!!111035!!!!!!!!!!!!!!!;NDS B;NDS B - Porte des Lilas;M-PORTE DES LILAS;Ligne 3 - Porte des Lilas;PC_I;PC industriel
EA7P-RESO-000000714!!!!!!!!111035!!!!!!!!!!!!!!!;SDP 1B;SDP 1B - Porte des Lilas;M-PORTE DES LILAS;Ligne 3 - Porte des Lilas;SDP;Serveur de ports
EA7P-RESO-000000713!!!!!!!!111035!!!!!!!!!!!!!!!;SDP 1A;SDP 1A - Porte des Lilas;M-PORTE DES LILAS;Ligne 3 - Porte des Lilas;SDP;Serveur de ports
nl_55_1001_1426;Concentrateur Porte des Lilas;Concentrateur Porte des Lilas;M-PORTE DES LILAS;Ligne 3 - Porte des Lilas;NDS;Concentrateur
nl_244_1001_1417;Concentrateur Télégraphe;Logiciel NdS;M-TELEGRAPHE;Ligne 11 - Télégraphe;NDS;Concentrateur
EA7P-RESO-000001012!!!!!!!!110069!!!!!!!!!!!!!!!;SDP 1A;SDP 1A - Cluny la Sorbonne;M-CLUNY - LA SORBONNE;Ligne 10 - Cluny la Sorbonne;SDP;Serveur de ports
EA7P-MIOR-000002159!!!!!!!!110069!!!!!!!!!!!!!!!;NDS B;NDS B - Gare de Lyon;R-GARE DE LYON;RER A - Gare de Lyon;PC_I;PC industriel
nl_231_1001_8905;Concentrateur Cluny la Sorbonne;Concentrateur Cluny la Sorbonne;M-CLUNY - LA SORBONNE;Ligne 10 - Cluny la Sorbonne;NDS;Concentrateur
EA7P-RESO-000001061!!!!!!!!104045!!!!!!!!!!!!!!!;SDP 2B;SDP 2B - Strasbourg Saint Denis;M-STRASBOURG - SAINT-DENI;Ligne 4 - Strasbourg Saint Denis;SDP;Serveur de ports
EA7P-RESO-000001060!!!!!!!!104045!!!!!!!!!!!!!!!;SDP 2A;SDP 2A - Strasbourg Saint Denis;M-STRASBOURG - SAINT-DENI;Ligne 4 - Strasbourg Saint Denis;SDP;Serveur de ports
nl_ventilateur_confort_LC_147;ventilation_ERM_CDSETO2_7;ventilation_ERM_CDSETO2_7 - Etoile RER;R-CHARLES DE GAULLE - ETO;RER A - Charles de Gaulle Etoile;ALMTC;alarme de synthèse de divers équipements
nl_ventilateur_confort_SAS_Pont_de_Neuilly;ventilation_ERM_CDSETO2_6;ventilation_ERM_CDSETO2_6 - Etoile RER;R-CHARLES DE GAULLE - ETO;RER A - Charles de Gaulle Etoile;ALMTC;alarme de synthèse de divers équipements
nl_ventilateur_confort_PRS;ventilation_ERM_CDSETO2_5;ventilation_ERM_CDSETO2_5 - Etoile RER;R-CHARLES DE GAULLE - ETO;RER A - Charles de Gaulle Etoile;ALMTC;alarme de synthèse de divers équipements
nl_ventilateur_confort_BI_Friedland;ventilation_ERM_CDSETO2_4;ventilation_ERM_CDSETO2_4 - Etoile RER;R-CHARLES DE GAULLE - ETO;RER A - Charles de Gaulle Etoile;ALMTC;alarme de synthèse de divers équipements
EA7P-RESO-000000036!!!!!!!!102065-00-0A-IN-LC015;P-HUB-FILS-0217211;P-HUB-FILS-0217211 - M-PCE CLICHY-LC015;M-PLACE DE CLICHY;Ligne 2 - Place de Clichy;HUB;HUB
EA7P-RESO-000000742!!!!!!!!136023!!!!!!!!!!!!!!!;SDP 3B;SDP 3B - Nation - RER;R-NATION;RER A - Nation;SDP;Serveur de ports
EA7P-RESO-000000741!!!!!!!!136023!!!!!!!!!!!!!!!;SDP 3A;SDP 3A - Nation - RER;R-NATION;RER A - Nation;SDP;Serveur de ports
EA7P-RESO-000000740!!!!!!!!136023!!!!!!!!!!!!!!!;SDP 2B;SDP 2B - Nation - RER;R-NATION;RER A - Nation;SDP;Serveur de ports
EA7P-RESO-000000739!!!!!!!!136023!!!!!!!!!!!!!!!;SDP 2A;SDP 2A - Nation - RER;R-NATION;RER A - Nation;SDP;Serveur de ports
EA7P-MIOR-000001608!!!!!!!!136023!!!!!!!!!!!!!!!;NDS B;NDS B - Nation - RER;R-NATION;RER A - Nation;PC_I;PC industriel
EA7P-MIOR-000001607!!!!!!!!136023!!!!!!!!!!!!!!!;NDS A;NDS A - Nation - RER;R-NATION;RER A - Nation;PC_I;PC industriel
EA7P-RESO-000000738!!!!!!!!136023!!!!!!!!!!!!!!!;SDP 1B;SDP 1B - Nation - RER;R-NATION;RER A - Nation;SDP;Serveur de ports
EA7P-RESO-000000737!!!!!!!!136023!!!!!!!!!!!!!!!;SDP 1A;SDP 1A - Nation - RER;R-NATION;RER A - Nation;SDP;Serveur de ports
nl_308_1001_1650;Concentrateur_1 Nation RER;Concentrateur_1 - Nation RER;R-NATION;RER A - Nation;NDS;Concentrateur
EA7P-MIOR-000001606!!!!!!!!101081!!!!!!!!!!!!!!!;NDS B;NDS B - Grande arche de La Défense;M-LA DEFENSE - GRANDE ARC; Ligne 1 - Grande arche de La Défense;PC_I;PC industriel
nl_1_1001_1640;Concentrateur La Défense;Logiciel NdS;M-LA DEFENSE - GRANDE ARC; Ligne 1 - Grande arche de La Défense;NDS;Concentrateur
IB8P-MONITEUR-1109126!!!!!!111049!!!!!!!!!!!!!!!;MONI-TELEA_126;MONI-TELEA_126 - République;M-REPUBLIQUE;Ligne 11 - République;MON;Moniteur de Téléaffichage en mode snmp
EA7P-RESO-000000696!!!!!!!!101053!!!!!!!!!!!!!!!;SDP 2B;SDP 2B - Châtelet;M-CHATELET;Ligne 4 - Châtelet;SDP;Serveur de ports
EA7P-RESO-000000695!!!!!!!!101053!!!!!!!!!!!!!!!;SDP 2A;SDP 2A - Châtelet;M-CHATELET;Ligne 4 - Châtelet;SDP;Serveur de ports
EA7P-MIOR-000001568!!!!!!!!101053!!!!!!!!!!!!!!!;NDS B;NDS B - Châtelet;M-CHATELET;Ligne 4 - Châtelet;PC_I;PC industriel
EA7P-RESO-000000694!!!!!!!!101053!!!!!!!!!!!!!!!;SDP 1B;SDP 1B - Châtelet;M-CHATELET;Ligne 4 - Châtelet;SDP;Serveur de ports
IB8P-SERVEUR-PORT-0413015!!104053!!!!!!!!!!!!!!!;SDP 1A;SDP 1A - Châtelet;M-CHATELET;Ligne 4 - Châtelet;SDP;Serveur de ports
nl_71_1001_1020;Concentrateur Châtelet;Logiciel NdS;M-CHATELET;Ligne 4 - Châtelet;NDS;Concentrateur
EA7P-MIOR-000001567!!!!!!!!104055!!!!!!!!!!!!!!!;NDS B;NDS B - Cité;M-CITE;Ligne 4 - Cité;PC_I;PC industriel
EA7P-RESO-000000693!!!!!!!!104055!!!!!!!!!!!!!!!;SDP 1B;SDP 1B - Cité;M-CITE;Ligne 4 - Cité;SDP;Serveur de ports
IB8P-SERVEUR-PORT-0414015!!104055!!!!!!!!!!!!!!!;SDP 1A;SDP 1A - Cité;M-CITE;Ligne 4 - Cité;SDP;Serveur de ports
nl_72_1001_1012;Concentrateur Cité;Logiciel NdS;M-CITE;Ligne 4 - Cité;NDS;Concentrateur
EA7P-MIOR-000001566!!!!!!!!104057!!!!!!!!!!!!!!!;NDS B;NDS B - Saint Michel;M-SAINT-MICHEL;Ligne 4 - Saint Michel ;PC_I;PC industriel
EA7P-RESO-000000692!!!!!!!!104057!!!!!!!!!!!!!!!;SDP 1B;SDP 1B - Saint Michel;M-SAINT-MICHEL;Ligne 4 - Saint Michel ;SDP;Serveur de ports
IB8P-SERVEUR-PORT-0415015!!104057!!!!!!!!!!!!!!!;SDP 1A;SDP 1A - Saint Michel;M-SAINT-MICHEL;Ligne 4 - Saint Michel ;SDP;Serveur de ports
nl_73_1001_1004;Concentrateur Saint Michel;Logiciel NdS;M-SAINT-MICHEL;Ligne 4 - Saint Michel ;NDS;Concentrateur
EA7P-MIOR-000001565!!!!!!!!104059!!!!!!!!!!!!!!;NDS B;NDS B - Odéon;M-ODEON;Ligne 4 - Odéon;PC_I;PC industriel
EA7P-RESO-000000691!!!!!!!!104059!!!!!!!!!!!!!!!;SDP 1B;SDP 1B - Odéon;M-ODEON;Ligne 4 - Odéon;SDP;Serveur de ports
IB8P-SERVEUR-PORT-0416015!!104059!!!!!!!!!!!!!!!;SDP 1A;SDP 1A - Odéon;M-ODEON;Ligne 4 - Odéon;SDP;Serveur de ports
nl_74_1001_995;Concentrateur Odéon;Logiciel NdS;M-ODEON;Ligne 4 - Odéon;NDS;Concentrateur
EA7P-MIOR-000001564!!!!!!!!104061!!!!!!!!!!!!!!!;NDS B;NDS B - Saint Germain des Prés;M-SAINT-GERMAIN-DES-PRES;Ligne 4 - Saint Germain des Prés;PC_I;PC industriel
EA7P-RESO-000000690!!!!!!!!104061!!!!!!!!!!!!!!!;SDP 1B;SDP 1B - Saint Germain des Prés;M-SAINT-GERMAIN-DES-PRES;Ligne 4 - Saint Germain des Prés;SDP;Serveur de ports
IB8P-SERVEUR-PORT-0417015!!104061!!!!!!!!!!!!!!!;SDP 1A;SDP 1A - Saint Germain des Prés;M-SAINT-GERMAIN-DES-PRES;Ligne 4 - Saint Germain des Prés;SDP;Serveur de ports
nl_75_1001_986;Concentrateur Saint Germain des Près;Logiciel NdS;M-SAINT-GERMAIN-DES-PRES;Ligne 4 - Saint Germain des Prés;NDS;Concentrateur
IB8P-MONITEUR-1109127!!!!!!111049!!!!!!!!!!!!!!!;MONI-TELEA_127;MONI-TELEA_127 - République;M-REPUBLIQUE;Ligne 11 - République;MON;Moniteur de Téléaffichage en mode snmp
EA7P-MIOR-000001563!!!!!!!!104063!!!!!!!!!!!!!!!;NDS B;NDS B - Saint Sulpice;M-SAINT-SULPICE;Ligne 4 - Saint Sulpice;PC_I;PC industriel
EA7P-RESO-000000689!!!!!!!!104063!!!!!!!!!!!!!!!;SDP 1B;SDP 1B - Saint Sulpice;M-SAINT-SULPICE;Ligne 4 - Saint Sulpice;SDP;Serveur de ports
IB8P-SERVEUR-PORT-0418015!!104063!!!!!!!!!!!!!!!;SDP 1A;SDP 1A - Saint Sulpice;M-SAINT-SULPICE;Ligne 4 - Saint Sulpice;SDP;Serveur de ports
nl_76_1001_977;Concentrateur Saint Sulpice;Logiciel NdS;M-SAINT-SULPICE;Ligne 4 - Saint Sulpice;NDS;Concentrateur
nl_Ampli_ETOILE_GTC_1;Ampli_ETOILE_GTC_1;Ampli_ETOILE_GTC_1 - Etoile RER;R-CHARLES DE GAULLE - ETO;RER A - Charles de Gaulle Etoile;Ampli_GTC;Amplificateur via un API GTC
nl_Sono_ETOILE_GTC;Sono_NATION_GTC;Sono_ETOILE_GTC - Etoile RER;R-CHARLES DE GAULLE - ETO;RER A - Charles de Gaulle Etoile;Sono_GTC;Sonorisation accédé via API GTC (CDS RER)
nl_Interphone_31_LC_Carnot-me_ETO1;IPH_ETOILE_GTC_31;IPH_ETOILE_GTC_31 - Etoile RER;R-CHARLES DE GAULLE - ETO;RER A - Charles de Gaulle Etoile;IPH_GTC;Interphone via un API concentrateur GTC
nl_Interphone_30_PEM_entree_Friedland_ETO1;IPH_ETOILE_GTC_30;IPH_ETOILE_GTC_30 - Etoile RER;R-CHARLES DE GAULLE - ETO;RER A - Charles de Gaulle Etoile;IPH_GTC;Interphone via un API concentrateur GTC
nl_Interphone_29_Sortie_Elysees_ETO1;IPH_ETOILE_GTC_29;IPH_ETOILE_GTC_29 - Etoile RER;R-CHARLES DE GAULLE - ETO;RER A - Charles de Gaulle Etoile;IPH_GTC;Interphone via un API concentrateur GTC
nl_238_1001_1364;Concentrateur Arts et Métiers;Logiciel NdS;M-ARTS ET METIERS;Ligne 11 - Arts et métiers;NDS;Concentrateur
AREM-SWI02L11;Switch Arts et Métiers;SWITCH 2 - Arts et Métiers;M-ARTS ET METIERS;Ligne 11 - Arts et métiers;SWITCH;Switch
nl_237_1001_1356;Concentrateur Rambuteau;Logiciel NdS;M-RAMBUTEAU;Ligne 11 - Rambuteau;NDS;Concentrateur
RAMB-SWI01L11;Switch_RAMBUT_1;Switch 1 de Rambuteau;M-RAMBUTEAU;Ligne 11 - Rambuteau;SWITCH;Switch
nl_236_1001_1347;Concentrateur Hôtel de ville;Logiciel NdS;M-HOTEL DE VILLE;Ligne 11 - Hôtel de ville;NDS;Concentrateur
EA7P-MIOR-000002302!!!!!!!!101059!!!!!!!!!!!!!!!;NDS B;NDS B - Tuileries;M-TUILERIES;Ligne 1 - Tuileries;PC_I;PC industriel
nl_10_1001_1339;Concentrateur Tuileries;Logiciel NdS;M-TUILERIES;Ligne 1 - Tuileries;NDS;Concentrateur
EA7P-MIOR-000002272!!!!!!!!101079!!!!!!!!!!!!!!!;NDS B;NDS B - Esplanade de La Défense;M-ESPLANADE DE LA DEFENSE;Ligne 1 - Esplanade de La Défense;PC_I;PC industriel
